Pincode,active,
141108,0,"141108,"
141109,0,"141109,"
141110,0,"141110,"
141112,0,"141112,"
141113,0,"141113,"
141114,0,"141114,"
141115,0,"141115,"
141116,0,"141116,"
141117,0,"141117,"
141118,0,"141118,"
141119,0,"141119,"
141120,0,"141120,"
141121,0,"141121,"
141122,0,"141122,"
141123,0,"141123,"
141125,0,"141125,"
141126,0,"141126,"
141127,0,"141127,"
141201,0,"141201,"
141202,0,"141202,"
141203,0,"141203,"
141204,0,"141204,"
141205,0,"141205,"
141206,0,"141206,"
141401,0,"141401,"
141411,0,"141411,"
141412,0,"141412,"
141413,0,"141413,"
141414,0,"141414,"
141415,0,"141415,"
141416,0,"141416,"
141417,0,"141417,"
141418,0,"141418,"
141419,0,"141419,"
141421,0,"141421,"
141422,0,"141422,"
141801,0,"141801,"
142001,0,"142001,"
142002,0,"142002,"
142003,0,"142003,"
142011,0,"142011,"
142021,0,"142021,"
142022,0,"142022,"
142023,0,"142023,"
142024,0,"142024,"
142025,0,"142025,"
142026,0,"142026,"
142027,0,"142027,"
142028,0,"142028,"
142029,0,"142029,"
142030,0,"142030,"
142031,0,"142031,"
142032,0,"142032,"
142033,0,"142033,"
142034,0,"142034,"
142035,0,"142035,"
142036,0,"142036,"
142037,0,"142037,"
142038,0,"142038,"
142039,0,"142039,"
142040,0,"142040,"
142041,0,"142041,"
142042,0,"142042,"
142043,0,"142043,"
142044,0,"142044,"
142045,0,"142045,"
142046,0,"142046,"
142047,0,"142047,"
142048,0,"142048,"
142049,0,"142049,"
142050,0,"142050,"
142052,0,"142052,"
142053,0,"142053,"
142054,0,"142054,"
142055,0,"142055,"
142056,0,"142056,"
142057,0,"142057,"
142058,0,"142058,"
142060,0,"142060,"
143001,0,"143001,"
143002,0,"143002,"
143003,0,"143003,"
143005,0,"143005,"
143006,0,"143006,"
143008,0,"143008,"
143009,0,"143009,"
143022,0,"143022,"
143101,0,"143101,"
143102,0,"143102,"
143103,0,"143103,"
143105,0,"143105,"
143107,0,"143107,"
143108,0,"143108,"
143109,0,"143109,"
143111,0,"143111,"
143112,0,"143112,"
143113,0,"143113,"
143114,0,"143114,"
143115,0,"143115,"
143116,0,"143116,"
143117,0,"143117,"
143118,0,"143118,"
143119,0,"143119,"
143149,0,"143149,"
143201,0,"143201,"
143202,0,"143202,"
143203,0,"143203,"
143204,0,"143204,"
143205,0,"143205,"
143301,0,"143301,"
143302,0,"143302,"
143303,0,"143303,"
143304,0,"143304,"
143305,0,"143305,"
143401,0,"143401,"
143402,0,"143402,"
143406,0,"143406,"
143407,0,"143407,"
143408,0,"143408,"
143409,0,"143409,"
143410,0,"143410,"
143411,0,"143411,"
143412,0,"143412,"
143413,0,"143413,"
143414,0,"143414,"
143415,0,"143415,"
143416,0,"143416,"
143419,0,"143419,"
143422,0,"143422,"
143501,0,"143501,"
143502,0,"143502,"
143504,0,"143504,"
143505,0,"143505,"
143506,0,"143506,"
143507,0,"143507,"
143511,0,"143511,"
143512,0,"143512,"
143513,0,"143513,"
143514,0,"143514,"
143515,0,"143515,"
143516,0,"143516,"
143517,0,"143517,"
143518,0,"143518,"
143519,0,"143519,"
143520,0,"143520,"
143521,0,"143521,"
143525,0,"143525,"
143526,0,"143526,"
143527,0,"143527,"
143528,0,"143528,"
143529,0,"143529,"
143530,0,"143530,"
143531,0,"143531,"
143532,0,"143532,"
143533,0,"143533,"
143534,0,"143534,"
143601,0,"143601,"
143602,0,"143602,"
143603,0,"143603,"
143604,0,"143604,"
143605,0,"143605,"
143606,0,"143606,"
144001,0,"144001,"
144002,0,"144002,"
144003,0,"144003,"
144004,0,"144004,"
144005,0,"144005,"
144006,0,"144006,"
144007,0,"144007,"
144008,0,"144008,"
144009,0,"144009,"
144010,0,"144010,"
144011,0,"144011,"
144020,0,"144020,"
144021,0,"144021,"
144022,0,"144022,"
144023,0,"144023,"
144024,0,"144024,"
144025,0,"144025,"
144026,0,"144026,"
144027,0,"144027,"
144028,0,"144028,"
144029,0,"144029,"
144030,0,"144030,"
144031,0,"144031,"
144032,0,"144032,"
144033,0,"144033,"
144034,0,"144034,"
144035,0,"144035,"
144036,0,"144036,"
144037,0,"144037,"
144039,0,"144039,"
144040,0,"144040,"
144041,0,"144041,"
144042,0,"144042,"
144043,0,"144043,"
144044,0,"144044,"
144101,0,"144101,"
144102,0,"144102,"
144103,0,"144103,"
144104,0,"144104,"
144105,0,"144105,"
144106,0,"144106,"
144201,0,"144201,"
144202,0,"144202,"
144204,0,"144204,"
144205,0,"144205,"
144206,0,"144206,"
144207,0,"144207,"
144208,0,"144208,"
144209,0,"144209,"
144210,0,"144210,"
144211,0,"144211,"
144212,0,"144212,"
144213,0,"144213,"
144214,0,"144214,"
144216,0,"144216,"
144221,0,"144221,"
144222,0,"144222,"
144223,0,"144223,"
144224,0,"144224,"
144301,0,"144301,"
144302,0,"144302,"
144303,0,"144303,"
144305,0,"144305,"
144306,0,"144306,"
144311,0,"144311,"
144401,0,"144401,"
144402,0,"144402,"
144403,0,"144403,"
144404,0,"144404,"
144405,0,"144405,"
144406,0,"144406,"
144407,0,"144407,"
144408,0,"144408,"
144409,0,"144409,"
144410,0,"144410,"
144411,0,"144411,"
144415,0,"144415,"
144416,0,"144416,"
144417,0,"144417,"
144418,0,"144418,"
144419,0,"144419,"
144421,0,"144421,"
144422,0,"144422,"
144501,0,"144501,"
144502,0,"144502,"
144503,0,"144503,"
144504,0,"144504,"
144505,0,"144505,"
144506,0,"144506,"
144507,0,"144507,"
144508,0,"144508,"
144509,0,"144509,"
144510,0,"144510,"
144511,0,"144511,"
144512,0,"144512,"
144513,0,"144513,"
144514,0,"144514,"
144515,0,"144515,"
144516,0,"144516,"
144517,0,"144517,"
144518,0,"144518,"
144519,0,"144519,"
144520,0,"144520,"
144521,0,"144521,"
144522,0,"144522,"
144523,0,"144523,"
144524,0,"144524,"
144525,0,"144525,"
144526,0,"144526,"
144527,0,"144527,"
144528,0,"144528,"
144529,0,"144529,"
144530,0,"144530,"
144531,0,"144531,"
144532,0,"144532,"
144601,0,"144601,"
144602,0,"144602,"
144603,0,"144603,"
144606,0,"144606,"
144620,0,"144620,"
144621,0,"144621,"
144622,0,"144622,"
144623,0,"144623,"
144624,0,"144624,"
144625,0,"144625,"
144626,0,"144626,"
144628,0,"144628,"
144629,0,"144629,"
144630,0,"144630,"
144631,0,"144631,"
144632,0,"144632,"
144633,0,"144633,"
144701,0,"144701,"
144702,0,"144702,"
144703,0,"144703,"
144801,0,"144801,"
144802,0,"144802,"
144803,0,"144803,"
144804,0,"144804,"
144805,0,"144805,"
144806,0,"144806,"
144819,0,"144819,"
145001,0,"145001,"
145022,0,"145022,"
145023,0,"145023,"
145024,0,"145024,"
145025,0,"145025,"
145026,0,"145026,"
145027,0,"145027,"
145029,0,"145029,"
145101,0,"145101,"
146001,0,"146001,"
146021,0,"146021,"
146022,0,"146022,"
146023,0,"146023,"
146024,0,"146024,"
146101,0,"146101,"
146102,0,"146102,"
146103,0,"146103,"
146104,0,"146104,"
146105,0,"146105,"
146106,0,"146106,"
146107,0,"146107,"
146108,0,"146108,"
146109,0,"146109,"
146110,0,"146110,"
